group,medium,pathogen,dose,c_num,c_name,auc_luc_div_od,exp_n,DMSO_mean,auc_norm
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,188150.8307526144,63,190057.89500505888,0.9899658772270749
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,188750.88418490023,63,190057.89500505888,0.9931230911500738
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,201041.82339297843,61,206463.06473617366,0.9737423187526413
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,207323.6717971323,61,206463.06473617366,1.004168334234786
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,208346.98500923987,61,206463.06473617366,1.0091247326754234
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,205816.59175415392,61,206463.06473617366,0.9968688201793099
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,204599.07967503974,61,206463.06473617366,0.9909718231514397
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,210990.10061680304,60,203403.24369696341,1.03729958668281
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,212689.0053250495,60,203403.24369696341,1.0456519840063137
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,208357.01029986455,60,203403.24369696341,1.0243544130017976
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,197377.61821495797,60,203403.24369696341,0.9703759616981201
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,212099.85414566673,70,210645.63318267275,1.0069036368854267
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,210327.813249783,70,210645.63318267275,0.9984912104367522
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,202781.2188499645,70,210645.63318267275,0.9626651917066412
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,200526.5798059486,70,210645.63318267275,0.9519617225202629
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,212024.94809248135,70,210645.63318267275,1.0065480346730589
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,211663.96960760688,70,210645.63318267275,1.0048343581091521
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,208138.24921369387,70,210645.63318267275,0.9880966724489157
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,202445.05845060988,70,210645.63318267275,0.9610693342740635
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,187950.37700336127,70,210645.63318267275,0.8922585964094966
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,192105.92861511555,70,210645.63318267275,0.9119862857471178
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,194804.214208364,70,210645.63318267275,0.9247958823785773
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,191446.80219272934,70,210645.63318267275,0.9088572086690536
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,197812.42065477613,70,210645.63318267275,0.9390767691976429
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,216716.6879939591,70,210645.63318267275,1.0288211757327126
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,211535.99045202578,70,210645.63318267275,1.0042268014575024
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,213372.3404518272,70,210645.63318267275,1.0129445231213972
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,212309.9563746257,70,210645.63318267275,1.0079010571774334
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,212727.71892508777,70,210645.63318267275,1.0098843052711632
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,210735.60753305093,70,210645.63318267275,1.0004271360816683
